Roll Number,Object Oriented Programming in C++,
Data Structure and Algorithms,Systems Analysis and Design,
Financial Accounting II,
Microprocessor,SGPA
,,,,,,,
21530162,Abs,,,F,,-,
21530164,Abs,Abs,F,Abs,Abs,-,
21530165,,,,F,B-,-,
21530167,,,,Abs,Abs,-,
21530175,Abs,,,F,,-,
21530181,,,,F,Abs,-,
21530188,,,C+,,,-,
21530189,,,,C+,C,-,
21530196,F,,,C,C+,-,
21530198,,Abs,,,,-,
21530199,,Abs,,,,-,
21530205,,,,,B-,-,
21530206,,,,Abs,,-,
21530211,,,,F,,-,
21530212,,,Abs,,,-,
21530214,,,,B,,-,
21530215,,,,F,,-,
21530216,,,,,F,-,
21530218,,,,F,,-,
21530222,,,,F,,-,
21530223,,,,F,,-,
21530231,,,,C+,C,-,
21530232,,A,,,B,-,
21530236,,,,F,F,-,
21530237,,,,,B-,-,
21530245,,,,F,,-,
21530248,,,,F,Abs,-,
21530251,,,,F,,-,
21530252,,,,C,,-,
21530253,,,,,C+,-,
21530257,,,,,B,-,
21530262,,,,F,Abs,-,
21530266,,,,,F,-,
21530268,,C-,,Abs,,-,
21530269,,,,F,,-,
21530270,,,,B-,,-,
21530271,,,,,C,-,
21530273,Withheld,,,,,-,
21530274,,Abs,C-,,,-,
21530280,,,,,F,-,
21530282,,,C+,,F,-,
21530284,,,,,B-,-,
21530286,F,,C,F,,-,
21530287,,C-,C,,F,-,
21530291,,,,F,C-,-,
21530293,,F,,,,-,
21530299,,,,B-,C,-,
21530300,,,,B-,B-,-,
21530305,,C,,F,F,-,
21530306,F,,,B,,-,
21535001,B-,C+,B+,C-,B-,2.54,
21535002,C,B-,B-,NQ,B+,-,
21535003,C-,C+,B-,NQ,B-,-,
21535004,A,A-,A,B,A-,3.68,
21535005,A-,B-,B-,C,C+,2.68,
21535006,A,B+,A-,B+,A,3.66,
21535007,A-,B+,A-,NQ,A,-,
21535008,F,C+,B,NQ,F,-,
21535009,F,F,C,NQ,C-,-,
21535010,A,A-,A-,B,A,3.68,
21535011,F,F,D+,NQ,F,-,
21535012,C,F,B+,F,C-,-,
21535013,A,A-,A,B-,A-,3.62,
21535014,A,C+,B,D+,F,-,
21535015,F,F,F,NQ,Abs,-,
21535017,F,C,C-,NQ,F,-,
21535018,F,F,C-,NQ,F,-,
21535019,F,B-,C+,NQ,C+,-,
21535020,F,C+,C,NQ,D+,-,
21535021,F,C,C-,NQ,F,-,
21535022,C+,B+,A-,C+,A-,3.06,
21535023,F,B-,B+,D+,C,-,
21535024,F,C+,B-,NQ,C-,-,
21535026,A,A,A,A,A,4.00,
21535028,F,F,C,Abs,F,-,
21535029,F,F,F,F,F,-,
21535030,F,B-,B,F,B-,-,
21535031,A-,C,C,C,F,-,
21535032,A,A-,B+,A-,B-,3.48,
21535033,B-,F,C,F,F,-,
21535034,A,A-,B+,C,F,-,
21535036,F,F,F,F,F,-,
21535037,F,F,C,F,F,-,
21535038,F,B+,B,B-,F,-,
21535039,B,C,F,F,F,-,
21535040,Abs,Abs,Abs,Abs,Abs,-,
21535041,C,F,F,F,F,-,
21535042,F,F,F,F,F,-,
21535043,A,B+,B,C,B,3.06,
21535044,A,A,A-,A,A-,3.88,
21535047,F,C,C,F,F,-,
21535048,F,B-,B,F,F,-,
21535049,F,C,B+,F,F,-,
21535050,F,B-,C+,B,B-,-,
21535051,F,C,C+,F,F,-,
21535052,F,B,B+,F,F,-,
21535053,B-,B-,B,F,B-,-,
21535054,F,B+,B+,F,F,-,
21535055,F,C+,C,B,C,-,
21535056,F,C,F,F,F,-,
21535058,A-,A-,A,B,A,3.68,
21535060,F,C,C,F,F,-,
21535061,F,A-,B,C+,C,-,
21535062,F,A-,A,B-,B-,-,
